C,gamma,fold,rseed,logL,acc_train,auc_train,logL_test,acc_test,auc_test
2,0.3,0,107261,-11651.372,0.7541666666666667,0.7814229212800736,-2943.4455781009897,0.75,0.7454234360968055
2,0.3,1,107262,-11819.517,0.7583333333333333,0.7813230229657142,-2778.0261477250697,0.75,0.7411667029885679
2,0.3,2,107263,-11851.797,0.7708333333333334,0.7752628852357373,-2839.1255537811517,0.7,0.7443805712993548
2,0.3,3,107264,-11806.609,0.7458333333333333,0.7801238825142087,-2820.854596726422,0.7833333333333333,0.7600379143905132
2,0.3,4,107265,-11693.336,0.7541666666666667,0.7814282456181348,-2862.8333367181576,0.75,0.7548344553077503
2,0.5,0,107261,-8382.754,0.7541666666666667,0.7788548995243253,-2130.3797304509726,0.7333333333333333,0.7380759102682343
2,0.5,1,107262,-8504.227,0.7583333333333333,0.7785212865176914,-2013.4239432022375,0.7333333333333333,0.7352609594514903
2,0.5,2,107263,-8568.053,0.7625,0.7664620418491533,-2066.5572221920634,0.7166666666666667,0.7403686627539867
2,0.5,3,107264,-8503.139,0.7416666666666667,0.7763981530661488,-2031.618437927702,0.7666666666666667,0.7564225232638655
2,0.5,4,107265,-8417.452,0.7541666666666667,0.7774731481740188,-2077.8936399291933,0.7666666666666667,0.749368907796716
2,0.7,0,107261,-5186.211,0.8041666666666667,0.7484154475787081,-1335.02081038996,0.75,0.7186497488984456
2,0.7,1,107262,-5514.218,0.35,0.682649140562388,-1330.7551276405593,0.2833333333333333,0.6508460968117933
2,0.7,2,107263,-5448.377,0.9041666666666667,0.677609322833744,-1336.2282471105837,0.5666666666666667,0.6619384082732581
2,0.7,3,107264,-5552.302,0.6125,0.6480835138816772,-1370.7727609180106,0.31666666666666665,0.5738982208472717
2,0.7,4,107265,-5204.101,0.7916666666666666,0.7503414945537468,-1327.4805584928458,0.7333333333333333,0.7217806472350037
5,0.3,0,107261,-11251.771,0.7666666666666667,0.8259680045260587,-2988.4413612456233,0.7166666666666667,0.7119587053597145
5,0.3,1,107262,-11267.579,0.775,0.8375054945826927,-2808.800292929235,0.7666666666666667,0.7148629890365258
5,0.3,2,107263,-11262.414,0.775,0.8360157248737847,-2794.718331205146,0.6666666666666666,0.7099781690178245
5,0.3,3,107264,-11213.599,0.7333333333333333,0.8410404865172958,-2934.0726276066066,0.7666666666666667,0.7017734299583095
5,0.3,4,107265,-11166.423,0.8291666666666667,0.8390874113059263,-2828.4110057575995,0.55,0.7113913478460068
5,0.5,0,107261,-8014.421,0.7833333333333333,0.8289290604551225,-2208.7150608960524,0.75,0.7241410297826727
5,0.5,1,107262,-8113.444,0.8208333333333333,0.8302168972591196,-1916.7717755842925,0.75,0.7192890679451975
5,0.5,2,107263,-8126.006,0.7833333333333333,0.8278339071337317,-2013.3292066380693,0.6833333333333333,0.7268937386498598
5,0.5,3,107264,-8055.541,0.7916666666666666,0.8372677244773785,-2011.43988995077,0.7333333333333333,0.7188488488788437
5,0.5,4,107265,-8061.56,0.8166666666666667,0.8295284680893071,-2022.356402608454,0.6666666666666666,0.719179102625214
5,0.7,0,107261,-4858.713,0.825,0.824677017644844,-1271.9967231581397,0.7666666666666667,0.7202429203371159
5,0.7,1,107262,-4917.944,0.8666666666666667,0.8271365778992261,-1178.4937653981472,0.7166666666666667,0.6990620621787664
5,0.7,2,107263,-4937.468,0.8291666666666667,0.8140612248295896,-1182.0313930121688,0.65,0.7275951168646906
5,0.7,3,107264,-4934.638,0.875,0.8140693572082198,-1234.404150999287,0.75,0.7350279025741362
5,0.7,4,107265,-4880.723,0.8583333333333333,0.8211334764914401,-1211.0106208914397,0.6833333333333333,0.7240841411394874
8,0.3,0,107261,-10817.189,0.7791666666666667,0.8594709594671659,-3143.7710255316993,0.7833333333333333,0.6756045440352197
8,0.3,1,107262,-10915.939,0.75,0.8643506633489213,-2902.2982243790107,0.6833333333333333,0.6827376553290581
8,0.3,2,107263,-10994.878,0.7708333333333334,0.856425023372938,-2857.925040969077,0.6833333333333333,0.6884854374400261
8,0.3,3,107264,-10945.559,0.7625,0.8588666429622773,-2989.1849208165504,0.6666666666666666,0.7001379024755813
8,0.3,4,107265,-10949.026,0.7666666666666667,0.8546141743090907,-2838.9205614769853,0.7166666666666667,0.6990676722855841
8,0.5,0,107261,-7811.262,0.7583333333333333,0.8549054963380721,-2089.2152049995493,0.7666666666666667,0.6861970216471442
8,0.5,1,107262,-7888.17,0.8166666666666667,0.8581420985238849,-2054.2382708690357,0.7333333333333333,0.7019735425060813
8,0.5,2,107263,-7957.511,0.7833333333333333,0.8483411974596542,-1974.606149161042,0.7,0.698639716189545
8,0.5,3,107264,-7888.755,0.7916666666666666,0.8543773915738438,-1982.9960587795726,0.7166666666666667,0.7087900759962725
8,0.5,4,107265,-7916.111,0.8,0.8456649831923727,-2092.1391831260225,0.7333333333333333,0.7007969250847003
8,0.7,0,107261,-4721.715,0.8833333333333333,0.8515244369721582,-1219.7604374579842,0.65,0.6872725716047438
8,0.7,1,107262,-4788.256,0.8791666666666667,0.8517414890823437,-1211.4527401051357,0.6833333333333333,0.7075467783273426
8,0.7,2,107263,-4801.657,0.8416666666666667,0.8486490563764539,-1201.57160136193,0.65,0.6973221251179911
8,0.7,3,107264,-4765.144,0.9625,0.852106168683024,-1180.0982411793364,0.6833333333333333,0.7046211489018508
8,0.7,4,107265,-4799.797,0.8625,0.8396770797144579,-1193.7219444228679,0.6,0.7122616370575087
